"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет полное обновление данных пользователя через PUT.","177","Обновление данных методом PUT","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"Проверяет успешную авторизацию с валидными данными.","311","Успешная авторизация","tests","2026-08-08","passed","2026-08-08","TestAuth","test_auth","",""
"Проверяет получение списка ресурсов с корректными данными пагинации.","340","Получение списка ресурсов","tests","2026-08-08","passed","2026-08-08","TestResources","test_resources","",""
"Проверяет успешное удаление ранее созданного пользователя.","329","Удаление пользователя","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"Проверяет успешное получение данных существующего пользователя по ID.","187","Получение данных о пользователе","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"Проверяет успешную регистрацию с валидными данными.","346","Успешная регистрация","tests","2026-08-08","passed","2026-08-08","TestAuth","test_auth","",""
"Проверяет успешное создание пользователя и корректность возвращаемых данных.","308","Создание нового пользователя","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"Проверяет, что авторизация без пароля возвращает 400 с описанием ошибки.","318","Авторизация с невалидными входными данными","tests","2026-08-08","passed","2026-08-08","TestAuth","test_auth","",""
"Проверяет, что регистрация без пароля возвращает 400 с описанием ошибки.","306","Регистрация с невалидными входными данными","tests","2026-08-08","passed","2026-08-08","TestAuth","test_auth","",""
"Проверяет частичное обновление данных пользователя через PATCH.","312","Обновление пользователя методом PATCH","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"Проверяет, что запрос несуществующего ресурса возвращает 404.","313","Получение несуществующего ресурса","tests","2026-08-08","passed","2026-08-08","TestResources","test_resources","",""
"Проверяет, что список пользователей возвращается постранично с корректными метаданными.","180","Проверка корректности пагинации","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
"Проверяет успешное получение данных существующего ресурса по ID.","313","Получение одного ресурса","tests","2026-08-08","passed","2026-08-08","TestResources","test_resources","",""
"Проверяет, что запрос несуществующего пользователя возвращает 404.","321","Получение данных о несуществующем пользователе","tests","2026-08-08","passed","2026-08-08","TestUsers","test_users","",""
